字段名｜字段类型｜字段默认值｜字段注释
id|bigint|None|博客表主键id
title|varchar|None|博客标题
description|text|None|文章描述
content|mediumtext|None|博文内容
first_picture|varchar|None|博文封面
views|int|0|文章阅读量
flag|bit|None|文章状态位，1：原创，0：转载
appreciation|bit|None|文章状态位，1：开启，0：关闭
share_statement|bit|None|分享状态位，1：开启，0：关闭
commentable|bit|None|评论状态位，1：开启，0：关闭
published|bit|None|发布状态位，1：开启，0：关闭
recommend|bit|None|推荐状态位，1：开启，0：关闭
create_time|datetime|None|文章创建时间
update_time|datetime|None|文章修改时间
type_id|int|None|关联的分类id
user_id|int|None|关联的用户id
tag_ids|varchar|None|关联标签
